t_seconds,gap_seconds
2.035951,2.035951
5.245206,3.209255
5.883694,0.638489
7.487193,1.603498
14.463326,6.976133
17.028639,2.565313
22.218434,5.189795
24.100083,1.881649
24.677991,0.577909
27.678411,3.000419
33.224808,5.546398
33.726795,0.501986
34.900321,1.173526
39.623931,4.723610
46.116987,6.493055
48.883744,2.766757
50.387687,1.503944
52.360803,1.973116
74.606861,22.246058
77.620302,3.013441
78.330415,0.710113
90.217754,11.887339
92.312560,2.094806
106.138814,13.826254
111.421500,5.282686
122.558112,11.136612
129.292840,6.734728
130.268536,0.975695
132.805517,2.536981
147.234920,14.429403
154.252653,7.017734
154.937287,0.684633
157.809179,2.871892
158.656890,0.847712
163.221361,4.564471
166.416319,3.194958
179.556466,13.140147
191.429499,11.873034
193.773135,2.343635
195.838300,2.065165
201.461438,5.623137
203.211153,1.749716
209.463079,6.251926
214.230866,4.767787
215.442745,1.211879
216.052037,0.609292
218.761162,2.709125
225.115977,6.354815
230.148187,5.032210
235.058632,4.910445
245.436020,10.377388
247.098932,1.662912
248.637061,1.538129
250.103454,1.466393
250.403038,0.299584
260.126165,9.723128
260.357804,0.231638
263.723117,3.365313
263.960866,0.237749
271.903261,7.942394
280.698209,8.794949
297.278343,16.580134
301.359999,4.081656
304.281548,2.921548
306.246149,1.964602
306.669556,0.423407
316.895215,10.225658
318.211465,1.316250
318.480866,0.269401
323.597786,5.116920
324.987031,1.389245
331.854617,6.867587
334.467890,2.613273
335.252477,0.784586
343.713827,8.461350
343.731310,0.017484
346.030633,2.299322
346.381064,0.350431
349.719995,3.338932
351.909587,2.189592
356.260727,4.351139
358.329181,2.068454
362.850115,4.520935
364.112171,1.262055
368.992462,4.880291
372.188602,3.196140
372.871159,0.682557
374.326157,1.454998
374.350183,0.024026
374.815428,0.465245
378.173752,3.358324
380.600066,2.426314
385.470602,4.870536
394.645998,9.175396
396.091476,1.445478
400.733780,4.642305
401.697267,0.963486
402.097540,0.400274
411.570673,9.473133
414.545137,2.974464
415.329436,0.784299
423.490957,8.161521
423.601484,0.110527
430.496508,6.895024
431.869684,1.373176
433.298149,1.428465
439.297217,5.999068
442.835785,3.538568
450.081085,7.245299
451.775603,1.694518
456.138999,4.363396
462.440031,6.301033
464.295142,1.855111
464.775329,0.480187
469.254126,4.478797
470.184744,0.930618
473.921078,3.736334
482.039334,8.118256
482.625443,0.586109
486.605585,3.980141
505.220344,18.614759
506.438721,1.218378
508.253581,1.814860
508.783488,0.529907
509.168807,0.385319
515.430705,6.261899
517.447876,2.017171
520.307465,2.859588
527.078233,6.770768
539.268520,12.190287
540.663621,1.395100
542.042776,1.379155
546.973745,4.930969
552.130638,5.156893
556.486080,4.355441
570.633214,14.147134
576.673477,6.040264
576.699481,0.026003
578.931487,2.232007
578.977494,0.046006
586.212315,7.234821
593.280565,7.068250
595.592958,2.312393
600.510070,4.917112
604.229030,3.718960
607.564088,3.335058
611.049782,3.485694
612.556495,1.506713
616.236550,3.680055
620.597689,4.361139
621.038550,0.440861
625.505857,4.467308
628.316526,2.810669
630.288012,1.971486
632.705905,2.417894
634.821199,2.115294
640.606956,5.785757
645.098179,4.491223
649.930367,4.832188
654.481040,4.550673
656.087157,1.606117
662.127496,6.040339
669.231719,7.104223
670.687172,1.455453
675.317764,4.630591
683.638341,8.320578
688.274405,4.636064
700.915408,12.641002
703.111347,2.195939
709.398225,6.286878
712.321338,2.923113
716.192410,3.871072
717.550840,1.358429
717.916548,0.365708
718.751048,0.834500
722.040771,3.289723
729.520283,7.479512
730.088241,0.567958
732.660528,2.572287
733.356155,0.695626
733.802089,0.445935
736.995206,3.193117
744.675507,7.680301
746.595760,1.920254
747.450551,0.854791
753.723550,6.272999
757.493641,3.770091
759.916662,2.423021
759.979184,0.062522
762.816295,2.837112
763.421996,0.605701
764.104235,0.682238
765.289132,1.184897
776.998091,11.708959
787.673006,10.674916
794.777306,7.104300
797.497894,2.720587
799.060258,1.562364
800.153800,1.093542
800.188120,0.034320
801.001595,0.813475
802.839504,1.837909
803.551343,0.711839
804.187496,0.636153
806.234873,2.047376
810.421811,4.186939
813.643433,3.221622
814.162136,0.518703
815.698973,1.536837
819.906848,4.207874
820.164866,0.258019
822.038863,1.873997
826.481627,4.442764
827.156865,0.675238
834.703046,7.546181
838.726267,4.023221
854.380345,15.654078
864.217187,9.836843
865.954766,1.737579
867.233580,1.278814
867.413812,0.180233
867.927580,0.513767
870.979733,3.052153
872.363930,1.384197
880.083811,7.719881
885.275465,5.191654
893.164603,7.889138
905.337930,12.173327
910.275870,4.937940
913.550854,3.274985
915.808014,2.257159
917.142242,1.334228
918.067089,0.924847
919.036440,0.969351
925.556531,6.520091
927.180251,1.623720
929.812879,2.632628
933.064714,3.251835
936.093086,3.028372
939.207383,3.114297
942.629543,3.422160
947.040967,4.411424
951.756848,4.715882
959.408614,7.651765
962.144592,2.735979
967.420632,5.276040
969.955941,2.535309
972.362174,2.406232
974.101495,1.739321
977.411051,3.309556
985.426151,8.015100
1007.754634,22.328483
1015.392016,7.637382
1015.625753,0.233737
1026.303099,10.677346
1026.857135,0.554036
1030.229308,3.372173
1032.982217,2.752909
1042.241201,9.258984
1043.026863,0.785662
1054.504324,11.477461
1058.474726,3.970402
1064.358481,5.883756
1065.769414,1.410933
1068.059862,2.290448
1077.491523,9.431661
1077.628263,0.136740
1078.778412,1.150149
1080.433204,1.654792
1081.343902,0.910698
1083.743927,2.400025
1084.612349,0.868422
1087.174157,2.561807
1094.104367,6.930211
1104.304138,10.199771
1113.682932,9.378795
1124.965064,11.282132
1130.310891,5.345827
1131.900043,1.589152
1133.511727,1.611684
1135.823854,2.312128
1135.918377,0.094523
1151.161144,15.242766
1154.858800,3.697657
1159.199565,4.340765
1164.232845,5.033280
1164.963245,0.730399
1167.452707,2.489463
1173.792351,6.339644
1174.021608,0.229256
1174.217958,0.196350
1179.511184,5.293227
1182.139523,2.628339
1182.742742,0.603218
1183.010094,0.267352
1184.523553,1.513459
1186.782315,2.258762
1187.625606,0.843292
1192.284923,4.659317
1195.105571,2.820648
1196.254963,1.149392
1198.648288,2.393325
1200.148359,1.500071
1202.508652,2.360292
1204.929093,2.420441
1205.063437,0.134344
1205.126674,0.063237
1206.190035,1.063360
1210.891333,4.701299
1212.729621,1.838288
1214.343968,1.614348
1214.925529,0.581560
1218.724419,3.798890
1219.245174,0.520755
1223.841111,4.595937
1224.353021,0.511910
1227.887879,3.534858
1232.207271,4.319392
1234.725252,2.517982
1235.438133,0.712880
1237.364092,1.925960
1237.931568,0.567475
1239.407025,1.475457
1246.972635,7.565610
1251.969352,4.996717
1252.126629,0.157278
1255.007512,2.880882
1260.173946,5.166434
1262.017230,1.843284
1263.056408,1.039178
1264.270030,1.213622
1265.612874,1.342844
1272.343279,6.730406
1273.008765,0.665486
1273.418851,0.410086
1275.848687,2.429836
1278.857526,3.008838
1289.353590,10.496064
1292.126925,2.773335
1292.578635,0.451710
1294.149303,1.570668
1297.608614,3.459311
1300.867319,3.258705
1302.806243,1.938924
1304.135440,1.329196
1306.767595,2.632156
1319.324346,12.556750
1326.469234,7.144889
1335.778334,9.309100
1344.221177,8.442842
1348.140698,3.919521
1348.894811,0.754114
1349.602449,0.707638
1351.125442,1.522993
1360.997663,9.872221
1374.665672,13.668009
1379.899029,5.233357
1381.325596,1.426566
1386.567783,5.242188
1387.189411,0.621628
1389.062432,1.873021
1389.444308,0.381876
1389.918809,0.474500
1394.174731,4.255922
1403.393731,9.219000
1405.259572,1.865841
1410.971350,5.711778
1413.905716,2.934367
1419.015729,5.110012
1424.402024,5.386295
1425.713518,1.311494
1428.336544,2.623027
1431.205451,2.868907
1433.302949,2.097498
1442.165703,8.862754
1443.149618,0.983916
1444.639146,1.489527
1444.978699,0.339553
1453.575050,8.596351
1464.909972,11.334922
1478.535996,13.626024
1482.845128,4.309132
1488.551031,5.705903
1494.430975,5.879944
1494.469618,0.038643
1496.640264,2.170646
1497.337655,0.697391
1501.633927,4.296272
1503.362340,1.728412
1517.120236,13.757897
1518.353352,1.233115
1519.252849,0.899498
1523.166794,3.913944
1529.516773,6.349980
1530.482592,0.965819
1533.214784,2.732192
1541.133653,7.918870
1551.113886,9.980233
1552.146098,1.032212
1555.506869,3.360771
1556.062213,0.555345
1556.994378,0.932164
1559.819069,2.824691
1560.017580,0.198511
1566.979931,6.962351
1574.690296,7.710365
1577.066266,2.375970
1578.640696,1.574430
1584.949325,6.308629
1585.993929,1.044604
1591.680825,5.686896
1599.690771,8.009946
1601.353518,1.662747
1603.378277,2.024759
1605.730324,2.352047
1612.062844,6.332520
1612.387538,0.324694
1614.989733,2.602195
1616.166602,1.176869
1628.161620,11.995018
1628.335253,0.173633
1630.511657,2.176403
1635.547551,5.035894
1647.772348,12.224796
1652.252446,4.480098
1653.611427,1.358982
1654.703907,1.092480
1660.232550,5.528643
1660.822951,0.590401
1663.965656,3.142706
1670.766453,6.800797
1672.535027,1.768574
1675.247948,2.712921
1681.925079,6.677131
1682.563411,0.638332
1692.309701,9.746291
1700.279893,7.970192
1700.299989,0.020097
1706.511048,6.211059
1709.517661,3.006613
1712.221238,2.703577
1714.135761,1.914523
1717.034026,2.898264
1718.610546,1.576520
1725.982116,7.371570
1726.066844,0.084728
1726.815852,0.749008
1731.057634,4.241782
1737.399048,6.341414
1740.029347,2.630299
1741.115493,1.086147
1744.345555,3.230061
1747.238509,2.892954
1752.748870,5.510361
1755.526741,2.777871
1768.957277,13.430536
1769.552698,0.595421
1773.599488,4.046790
1777.012452,3.412964
1782.533043,5.520592
1785.274028,2.740985
1798.052557,12.778530
1799.679303,1.626746
1810.627325,10.948022
1811.043679,0.416355
1812.124683,1.081004
1813.799374,1.674690
1814.641884,0.842511
1826.334961,11.693077
1828.468110,2.133149
1830.867257,2.399147
1833.789427,2.922170
1836.463655,2.674228
1839.438166,2.974511
1842.627385,3.189218
1844.825741,2.198356
1861.292304,16.466564
1862.671949,1.379645
1885.063626,22.391677
1886.541505,1.477879
1893.329509,6.788004
1897.317348,3.987839
1898.599423,1.282075
1898.884885,0.285462
1903.990840,5.105955
1905.915235,1.924395
1906.325045,0.409810
1909.412762,3.087718
1921.764293,12.351530
1924.030782,2.266489
1926.844215,2.813433
1930.109836,3.265621
1933.144039,3.034203
1934.274514,1.130475
1942.711420,8.436906
1944.054157,1.342736
1946.130453,2.076296
1946.354274,0.223822
1947.084574,0.730299
1950.026381,2.941807
1969.212641,19.186260
1969.587703,0.375063
1980.694904,11.107201
1983.340879,2.645975
1986.220500,2.879621
1987.752041,1.531541
1990.106055,2.354014
1992.082490,1.976435
1992.723502,0.641012
1994.359649,1.636147
1994.423278,0.063629
1994.506255,0.082977
1994.639971,0.133716
1995.474694,0.834724
1995.648715,0.174021
1996.485394,0.836679
2003.832948,7.347554
2013.498315,9.665367
2013.526602,0.028287
2026.961664,13.435062
2029.805648,2.843984
2030.343031,0.537383
2031.890465,1.547434
2032.904419,1.013954
2037.367907,4.463488
2038.062516,0.694609
2041.223284,3.160767
2041.543358,0.320074
2043.231405,1.688048
2048.768036,5.536630
2056.195992,7.427956
2060.125055,3.929063
2061.413507,1.288451
2073.365252,11.951745
2081.286575,7.921323
2087.005400,5.718826
2088.911843,1.906442
2092.842913,3.931070
2094.656746,1.813833
2094.760233,0.103487
2098.331044,3.570811
2099.261031,0.929987
2100.468273,1.207242
2117.000403,16.532130
2118.518807,1.518404
2119.051645,0.532838
2124.527399,5.475754
2126.621506,2.094107
2127.045337,0.423831
2130.091824,3.046487
2133.948123,3.856299
2134.636243,0.688120
2136.476935,1.840692
2141.096292,4.619357
2144.162516,3.066224
2146.706945,2.544429
2146.723587,0.016643
2153.748845,7.025257
2155.828633,2.079788
2166.212915,10.384282
2167.972521,1.759605
2168.887845,0.915324
2172.228766,3.340921
2174.296423,2.067657
2175.018635,0.722212
2178.765505,3.746870
2180.883905,2.118400
2187.994797,7.110892
2188.089800,0.095003
2194.920886,6.831086
2196.466991,1.546105
2197.846872,1.379880
2200.118125,2.271254
2202.534338,2.416212
2204.380965,1.846628
2204.819864,0.438898
2205.857160,1.037297
2241.221078,35.363918
2252.448105,11.227027
2261.839914,9.391809
2262.218963,0.379049
2300.733109,38.514146
2314.181027,13.447918
2316.766521,2.585494
2328.192434,11.425913
2329.369377,1.176943
2331.191998,1.822620
2356.830525,25.638527
2360.438956,3.608431
2361.203614,0.764658
2365.452427,4.248813
2371.925328,6.472901
2373.115702,1.190374
2374.822491,1.706789
2386.812255,11.989764
2388.684828,1.872573
2390.797905,2.113077
2391.443144,0.645239
2393.621790,2.178646
2397.138581,3.516791
