target_x,target_y
0.980501,1.917787
1.571943,0.275903
0.467259,1.271602
1.064870,1.767627
1.557612,1.270903
0.985013,0.164522
0.190188,1.558838
1.478667,1.267530
2.162187,1.582435
1.804943,0.354179
0.776934,1.644724
1.919264,1.190026
0.336588,0.132785
1.113198,2.320977
0.057618,2.211214
0.006180,0.758101
0.072529,2.086652
1.198910,1.395939
1.137888,0.909165
0.560186,0.022289
0.774116,1.202105
2.143746,1.382088
0.737013,0.956716
1.650449,0.549144
0.725949,0.050331
2.345408,2.429746
0.885384,1.681536
2.023508,1.685807
0.317903,0.798681
1.764846,2.030379
1.174837,1.223165
0.466071,1.581289
0.591365,1.806791
1.738838,2.456208
0.412872,1.298751
1.822916,2.184986
1.349728,0.664952
0.557575,1.368891
2.223793,0.754228
0.161277,2.017090
1.604642,1.066577
0.146062,0.642793
2.479058,1.313939
2.005587,2.096859
1.463056,0.476478
2.403831,1.846615
0.413281,1.845729
2.042267,1.128943
1.046064,0.814725
0.913198,1.111824
2.112560,0.395635
0.706680,0.654387
0.489140,1.821330
2.312793,2.466061
1.850068,1.101695
1.497274,2.039557
0.219281,0.272298
2.475480,1.833032
0.236750,1.874480
1.136268,0.474038
0.065515,1.259505
0.341225,2.323886
0.533854,2.045726
2.142906,1.759808
0.517300,1.008907
0.898337,1.783516
0.811478,0.847197
1.140609,1.007914
2.482205,1.577184
1.830105,1.165218
0.386200,2.498022
2.468068,1.148620
1.473101,2.431850
0.820345,2.159413
0.596744,1.666697
2.060703,2.042205
1.417138,2.071929
1.724697,1.389160
0.625613,0.090175
0.857644,0.357667
0.537631,0.782614
2.151342,2.099601
1.299562,2.023362
0.856192,1.461723
0.361901,1.342828
2.311712,2.457060
2.413858,1.584412
1.662578,0.994529
1.245619,1.892886
0.044988,0.481886
1.406604,2.071125
1.786337,1.664105
1.059543,0.635679
2.143545,0.128264
0.112331,1.206325
1.826974,1.738343
1.909030,1.493664
1.315110,2.412769
1.770457,0.396548
1.659415,1.722467
1.509420,2.072180
0.080112,0.608156
1.424818,1.088824
0.443606,1.488177
1.068892,1.227604
0.288085,2.027706
0.535407,1.123860
1.190848,0.054554
1.826040,0.753907
0.123167,1.354763
1.135147,0.868169
1.506490,1.828170
2.268527,1.051090
1.641316,2.259214
0.330621,0.957893
0.479331,2.206379
0.778192,2.091670
2.077476,1.551629
0.091901,0.201639
0.068708,0.276890
1.211631,2.279927
1.623095,1.240686
1.441666,0.919669
2.094257,0.059827
1.598765,2.160831
2.373884,2.113615
0.630317,1.421421
0.131992,0.277832
0.624584,0.046978
1.541978,1.873255
0.193818,1.888213
0.360835,1.790856
1.702803,0.764973
0.889168,1.738887
0.427530,1.105456
0.284498,0.192863
1.626879,1.036344
0.644194,1.114743
0.914831,2.446474
0.936262,1.382693
2.390878,1.245973
0.130245,0.052175
0.436888,2.313848
2.381019,0.021841
0.356436,1.886911
0.371818,0.347297
0.557948,1.488579
1.589092,2.130881
1.979837,2.012722
0.409989,1.138864
1.824317,1.324003
1.280537,1.079271
2.264461,1.191983
2.202419,0.879623
1.602483,0.581681
1.020349,0.755315
1.475719,2.155953
1.774349,2.490453
1.685615,1.745577
2.265545,1.781975
1.616011,0.670695
0.955292,0.449744
1.932764,1.775170
1.167617,0.302020
1.079511,1.360022
0.086306,0.945254
1.840483,2.319453
0.635834,1.356458
1.269402,1.887701
2.347797,0.966949
1.203769,1.651060
0.952849,0.956151
0.406133,0.862152
0.330634,1.074342
2.041284,0.313728
1.021815,2.396162
1.545085,1.895704
1.925147,0.977148
1.275542,0.122678
0.466964,1.237695
0.622521,1.464586
0.058879,0.654554
1.606952,1.312734
0.367409,1.862101
0.598649,0.394721
0.888046,1.940457
2.056574,0.114647
1.880108,1.279921
1.916651,2.093878
1.050689,1.455235
0.972557,1.826209
1.074432,1.728884
1.436764,2.375009
0.095396,2.350737
1.266509,0.846812
2.109289,1.307551
1.944160,0.158858
0.193143,1.766326
2.063898,0.404532
2.281621,0.768869
2.307335,2.061345
2.482402,0.980697
1.244596,2.032822
0.926534,0.136983
0.042743,1.256306
0.345868,0.761531
0.038881,1.460071
0.421079,1.710958
0.970365,2.043486
0.385160,2.466854
0.411546,1.662189
0.979481,1.721320
0.669119,2.308877
1.312254,1.646118
0.838909,1.735020
1.576825,1.519056
0.079877,2.225228
0.181211,1.585364
0.731966,1.386015
0.364733,0.448385
2.248086,0.992028
0.586035,1.345979
1.001482,1.385994
1.849553,1.355495
0.960122,2.118776
1.644436,0.407137
0.117452,2.389663
1.844373,0.393977
2.323205,2.209831
0.640122,0.711633
1.944830,1.650794
1.344373,1.944280
1.117402,1.165182
0.897286,1.593323
1.998601,1.853110
2.266848,0.382964
1.974337,0.135331
0.489043,2.402968
1.026629,0.032481
0.186315,2.439025
1.748228,0.898005
0.178462,2.077524
2.117950,2.021781
0.749586,1.947213
1.324846,1.167706
0.364572,0.933174
0.698394,0.194790
1.080270,2.110524
1.758471,0.610504
1.080921,2.164409
2.238243,1.211357
2.091481,0.575865
1.119869,1.320225
0.852197,1.402629
2.482071,1.010789
2.122408,0.892743
0.939770,1.757907
0.943048,2.106389
0.659295,2.049054
1.259851,1.290455
1.049100,0.972709
1.478028,2.484452
0.378325,1.915885
0.613596,0.901723
1.203017,0.287872
0.623042,0.309204
0.546093,1.751218
0.765855,0.251441
1.470098,1.917466
0.640781,1.903231
1.703104,1.962244
2.069845,0.339740
2.204582,1.328857
0.972954,0.569775
1.230000,0.243586
0.262897,1.366746
0.085380,0.577077
0.321251,1.332433
1.592298,0.175193
0.057240,1.462482
1.815228,1.060696
1.065137,1.319029
1.742647,0.664083
0.667846,1.051660
0.999436,2.055687
1.970223,1.985427
0.285933,1.675825
0.763480,0.340187
1.929695,2.242652
0.506988,1.812631
0.965255,0.483153
2.284876,1.663293
1.153060,0.919968
0.554426,0.619085
1.635669,2.165708
2.129778,0.024291
1.190999,1.651430
1.867493,0.437563
0.645120,2.166878
1.392930,2.274841
1.580908,2.436528
1.390781,0.966789
0.951234,1.984742
0.640389,2.480153
1.616184,1.337751
1.651712,2.007467
0.978570,2.036564
0.295245,1.003223
2.004544,1.480549
0.981658,2.398912
1.880557,1.490518
1.880683,0.985878
0.980511,2.417869
0.023287,0.524279
0.100637,2.046333
2.494754,0.900571
0.960462,0.362386
1.361522,0.245183
1.769993,2.022342
1.828206,0.421019
0.360860,1.577562
2.162588,2.085209
1.741680,2.090472
0.994668,0.715524
1.140486,0.578820
0.502712,0.730884
0.174537,1.865038
1.532114,0.259548
0.316049,0.304909
2.231119,0.155511
1.696858,0.025742
0.114475,1.719093
1.479040,2.419217
1.060792,2.326388
0.580196,1.127098
2.497979,1.273608
0.728809,2.425824
0.527044,0.718041
2.000148,0.895953
0.723934,1.739958
0.051787,1.770340
1.173825,0.358005
1.435682,0.274637
1.494739,0.706189
0.905129,2.353927
0.375685,1.623355
1.390005,0.042039
1.712859,2.386523
0.123126,2.455328
1.821186,0.683116
1.193160,2.402703
2.422081,0.466418
2.229385,2.251028
2.090272,0.342873
1.155628,0.761385
1.539325,0.302681
0.017086,0.765655
1.874083,0.213462
0.159175,2.130497
0.014197,1.468701
1.210429,0.995423
1.484312,0.280448
1.271574,1.368345
1.030823,1.437626
0.731987,0.023560
2.472499,0.423627
1.579997,0.604399
1.499548,0.771955
1.633765,1.259643
1.206595,0.890548
0.123633,0.746500
2.099544,0.070492
2.294497,1.143606
0.599837,2.468932
0.025515,0.820639
1.387942,1.008686
1.878406,0.778432
2.227263,0.267685
1.612123,0.059762
0.309684,0.395610
1.168421,1.845171
1.224349,0.939045
2.209400,0.664217
1.976755,1.283140
0.648395,0.191843
1.009043,2.399219
2.408488,2.210770
0.289289,2.315503
2.359340,0.032913
1.675104,2.327538
1.535843,2.304436
1.864497,0.488913
1.368165,2.140224
0.483794,0.829767
0.612638,0.656485
1.604729,1.141567
0.517716,1.696867
2.404253,2.203481
1.142014,1.305407
0.282387,1.895080
1.491246,0.186595
1.513580,0.483616
2.052087,0.972738
1.081763,1.107540
2.392290,0.788967
1.211842,0.943429
1.383790,1.633613
2.135441,0.454721
1.653348,2.049977
1.957071,1.558778
2.332697,0.141388
1.912794,1.870911
1.445174,1.977732
2.274531,1.540205
0.551087,0.178446
0.856885,0.530667
2.406059,0.973021
0.243761,0.872062
0.345267,0.680726
1.885052,0.360138
1.465611,0.551871
0.724422,1.258239
1.426887,1.094637
0.590362,0.058811
1.876586,1.616673
0.887694,1.001274
1.062530,0.401201
0.559122,2.154694
0.063019,1.996014
2.484351,0.249417
1.711233,1.724009
0.570519,1.293876
1.572133,2.468242
0.667439,0.180458
0.151146,1.629716
2.017205,1.242613
0.195134,0.805315
2.252137,1.737653
1.229251,1.317577
2.327761,1.696539
1.806032,1.545551
1.067679,0.134514
1.150295,1.303834
0.144820,2.190267
2.221277,1.369605
0.788122,0.095141
2.207074,2.022926
1.238638,2.360945
1.573464,0.724006
1.977059,1.902483
2.280886,0.029483
0.670139,1.729689
0.546546,0.048069
0.051540,0.086444
0.614800,1.158789
0.453007,1.598490
0.638655,2.007368
1.773343,0.283657
1.704592,1.057182
1.757691,0.767070
1.894127,1.649614
1.077771,2.171632
0.510105,0.347345
0.709135,1.205430
0.907719,1.930674
1.933082,2.170894
0.854298,1.114613
1.862257,0.694670
1.683174,1.510470
2.047041,1.724704
0.105458,1.874585
0.877645,1.449933
2.141290,1.673475
2.454752,1.694811
2.242249,1.773058
1.842604,1.907712
0.661948,1.567912
1.112388,1.356170
0.505392,1.597030
0.590449,0.826995
1.894787,1.705221
0.630620,1.138316
2.232656,1.270377
1.508992,1.853538
2.261809,0.999059
1.475304,0.493255
0.589744,1.303869
2.317094,0.847897
2.032877,1.151615
1.020911,0.903169
2.087267,1.741558
0.592807,2.010483
1.005222,2.082057
1.249905,0.104222
1.794301,2.162241
0.063531,1.876354
0.761928,0.344791
0.074783,0.004038
0.060345,0.258346
1.525071,1.395285
0.012647,1.514485
0.058738,1.836820
1.517883,2.204041
0.586159,2.253286
0.990714,1.082710
1.345367,1.726375
0.759376,0.290282
1.377413,0.649609
1.467247,0.871938
1.658876,2.043571
2.387649,1.783839
0.923438,2.363184
2.388163,1.032367
0.415881,1.823639
0.348813,1.061540
1.462493,1.229892
1.360879,1.360517
0.560989,1.508468
0.942830,1.517046
1.284087,1.959889
1.718512,2.473562
0.356514,2.487261
1.218250,1.296799
0.505517,0.853854
1.254327,0.063036
0.539574,1.606440
1.645749,1.520560
0.048579,0.705393
1.755377,1.832926
0.063484,2.476059
1.382265,1.957678
0.930959,0.710158
1.307549,0.327640
0.993213,0.016697
0.808233,2.466766
0.292632,0.146642
0.955917,1.760618
1.567522,1.957494
0.395603,2.293214
0.531677,1.713507
1.267185,0.566938
1.886305,1.283388
1.350277,1.365600
1.369104,2.379036
0.794368,2.347905
0.420721,1.787024
1.655895,0.705366
1.766496,0.816177
0.432516,0.989416
2.237084,1.334776
1.726939,0.785964
0.684452,0.295694
0.783532,1.020993
2.125519,0.731480
2.032937,0.166471
1.470748,2.253390
1.116569,0.267575
0.502169,2.004262
2.459703,2.430569
1.052931,1.644867
1.408857,1.439330
0.370039,0.613684
0.479226,1.819866
0.863468,0.717834
0.888926,0.598685
1.016412,0.162900
1.388250,0.964518
1.896859,0.745710
1.465369,0.675510
1.190458,0.407346
2.113965,1.604134
1.503715,1.799154
1.398137,1.729050
0.379576,0.347757
0.080278,1.961218
1.644010,2.191369
1.512111,1.117249
0.532064,2.241321
2.242104,0.961771
2.127361,1.203248
0.864178,0.040027
0.311376,2.175702
1.923230,1.583412
1.889399,1.971494
2.060770,1.162891
1.424296,2.477135
1.543821,1.230799
2.382838,1.821919
0.336170,2.069201
2.253708,1.642467
1.026776,2.139163
1.325169,1.613230
2.460346,1.919977
1.592749,2.435577
1.097121,0.107402
2.478300,1.248134
0.640893,0.341676
1.028103,1.961735
0.354278,2.198922
1.592644,2.436910
1.851197,1.081301
0.436411,1.421163
1.213072,2.381120
0.477699,1.018522
2.128890,0.634011
0.442410,0.692165
1.698476,0.799378
1.057046,2.133103
0.470012,2.178505
0.453452,0.785727
0.106516,0.914315
1.775807,2.359317
1.338575,1.752285
0.102063,1.215030
1.661924,0.804985
1.164119,1.538173
0.346477,1.120522
0.319584,1.909788
0.255843,1.735820
0.156551,2.212875
1.232232,2.360314
0.102229,1.600270
1.469728,1.138169
1.506149,0.042020
0.964342,0.610881
2.000459,2.074009
1.503149,2.409930
1.259821,1.924773
1.841705,0.871252
1.214354,2.388011
0.768342,2.394091
0.761426,1.316229
1.199538,0.079983
2.116817,0.885963
0.264927,1.020581
1.164064,0.734736
1.884915,2.064952
0.976022,2.436676
